InvoiceDate,Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Sales_Level,month_year
22448,Walmart,Southeast,Florida,Orlando,Women's Apparel,103,218,2245,1257,Online,Low,22281
22477,West Gear,South,Louisiana,New Orleans,Women's Apparel,103,163,1679,806,Online,High,22281
22517,Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,3150,Outlet,Low,22281
22519,Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,3881,Outlet,Low,22281
22513,Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,3206,Outlet,High,22281
22291,West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2494,In-store,Low,22281
22303,Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,2700,Online,High,22281
22373,West Gear,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,2700,In-store,Low,22281
21984,Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,434,1910,993,Outlet,Low,21915
22298,Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,2975,In-store,High,22281
22322,West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231,In-store,Low,22281
22442,West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,2975,In-store,Low,22281
22380,Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,Online,High,22281
22355,Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,2550,Online,High,22281
22539,Walmart,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,3400,Online,Low,22281
22332,Walmart,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,3400,Online,High,22281
22038,Walmart,Northeast,New York,New York,Men's Street Footwear,48,420,2016,1129,Outlet,High,21915
22024,Walmart,Northeast,New York,New York,Men's Street Footwear,39,408,1591,875,Outlet,High,21915
22032,Walmart,Northeast,New York,New York,Men's Street Footwear,46,403,1854,1038,Outlet,High,21915
22349,West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store,High,22281
