Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,cluster,Sales_Level
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,103.0,218,2245,1257.0,Online,1,Low
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,103.0,163,1679,806.0,Online,1,Low
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,7000,3150.0,Outlet,1,Low
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,8625,3881.0,Outlet,0,High
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,7125,3206.0,Outlet,0,High
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475,7125,2494.0,In-store,0,High
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450,9000,3150.0,Online,0,High
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,15.0,450,6750,2700.0,Online,0,High
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450,9000,2700.0,In-store,0,High
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,44.0,434,1910,993.0,Outlet,1,Low
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425,8500,2975.0,In-store,0,High
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425,6375,2231.0,In-store,0,High
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425,8500,2975.0,In-store,0,High
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425,8500,3400.0,Online,0,High
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,15.0,425,6375,2550.0,Online,0,High
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,20.0,425,8500,3400.0,Online,0,High
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,20.0,425,8500,3400.0,Online,0,High
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425,8500,2975.0,Online,0,High
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,48.0,420,2016,1129.0,Outlet,1,Low
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,39.0,408,1591,875.0,Outlet,0,High
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,46.0,403,1854,1038.0,Outlet,1,Low
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400,8000,2800.0,In-store,0,High
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400,8000,3200.0,In-store,0,High
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800.0,In-store,0,High
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800.0,In-store,0,High
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400,8000,3200.0,Online,0,High
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,15.0,400,6000,2400.0,Online,0,High
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,47.0,400,1880,978.0,Outlet,1,Low
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,40.0,390,1560,811.0,Outlet,0,High
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,33.0,388,1280,666.0,Outlet,0,High
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,34.0,384,1306,679.0,Outlet,0,High
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376,1166,559.0,Outlet,0,High
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,7500,4125.0,Outlet,0,High
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375,7500,2625.0,In-store,0,High
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000.0,In-store,0,High
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000.0,In-store,0,High
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,15.0,375,5625,2250.0,Online,0,High
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375,5625,1969.0,Online,0,High
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375,5625,2250.0,Online,0,High
